species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Poultry,Local scavenging,Neonate,Newcastle Disease,diarrhoea|drop_in_egg_production|respiratory_distress|neurological_signs,diarrhoea; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Senior,Theileriosis,lymph_node_enlargement|respiratory_distress|fever|drooling|icterus|ticks_observed,lymph node enlargement; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Theileriosis,icterus|respiratory_distress|sudden_death,jaundice/icterus; respiratory distress,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Senior,African Swine Fever,anorexia|hemorrhages,reduced appetite/anorexia; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Senior,Mastitis,reduced_milk|pain_on_palpation|abnormal_milk|swollen_udder,reduced milk yield; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Juvenile,Dermatophilosis,crusting_skin_lesions|lameness|wet_skin|matted_hair|exudative_dermatitis,crusting skin lesions; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Brucellosis,orchitis|abortions|retained_placenta,orchitis; abortions,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Adult,Tick-bite toxicosis,anemia|sudden_weakness,anemia; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Adult,African Swine Fever,hemorrhages|high_fever|anorexia|sudden_death|abortions,hemorrhages; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Bonsmara,Juvenile,Babesiosis,hemoglobinuria|anemia|fever|anorexia|weakness,red/brown urine (hemoglobinuria); anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Anthrax,bloody_diarrhoea|tongue_ulcers,bloody diarrhoea; tongue ulcers,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Juvenile,Parasitic Gastroenteritis,diarrhoea|bottle_jaw|anorexia,diarrhoea; bottle jaw,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Adult,Babesiosis,weakness|anemia|fever|anorexia|hemoglobinuria|ticks_observed,weakness; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Juvenile,Coccidiosis,diarrhoea|dehydration|weight_loss,diarrhoea; dehydration,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Mastitis,reduced_milk|swollen_udder,reduced milk yield; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Orf (Contagious Ecthyma),scabby_lesions_mouth|weight_loss,scabby mouth lesions; weight loss,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Dermatophilosis,exudative_dermatitis|matted_hair|crusting_skin_lesions,exudative dermatitis; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Senior,Rabies (spillover),behavioural_changes|aggression,behavioural changes; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Juvenile,Foot-and-Mouth Disease,blisters_mouth_feet|reduced_appetite|fever,vesicles/blisters on mouth/feet; reduced appetite,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Angus,Adult,Tick-bite toxicosis,lameness|sudden_weakness,lameness; sudden weakness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Parasitic Gastroenteritis,anorexia|poor_condition|bottle_jaw,reduced appetite/anorexia; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Rabies (spillover),behavioural_changes|aggression|paralysis,behavioural changes; aggression,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Local,Juvenile,Foot-and-Mouth Disease,fever|reduced_appetite|lameness|excess_salivation,fever; reduced appetite,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Brahman,Neonate,Theileriosis,anorexia|icterus|drooling|respiratory_distress|fever|ticks_observed,reduced appetite/anorexia; jaundice/icterus,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Orf (Contagious Ecthyma),lamb_kid_mortality|scabby_lesions_mouth|weight_loss,lamb kid mortality; scabby mouth lesions,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Parasitic Gastroenteritis,poor_condition|anorexia|bottle_jaw|diarrhoea|weight_loss,poor condition; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Mastitis,reduced_milk|swollen_udder,reduced milk yield; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Rabies (spillover),aggression|hypersalivation|behavioural_changes,aggression; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Juvenile,Mastitis,pain_on_palpation|reduced_milk,pain on palpation; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Senior,African Swine Fever,anorexia|abortions|hemorrhages|high_fever|sudden_death,reduced appetite/anorexia; abortions,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Neonate,Anaplasmosis,weight_loss|fever|progressive_anemia|ticks_observed,weight loss; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Senior,Mastitis,pain_on_palpation|reduced_milk,pain on palpation; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Dermatophilosis,matted_hair|wet_skin,matted hair; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Babesiosis,weakness|anorexia,weakness; reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Adult,Babesiosis,fever|hemoglobinuria,fever; red/brown urine (hemoglobinuria),Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Rabies (spillover),neurological_signs|hypersalivation|behavioural_changes,neurological signs / paralysis; hypersalivation,No treatment for clinical cases; vaccinate exposed animals; notify authorities; PEP for humans.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Hereford,Senior,Mannheimiosis (Pasteurellosis),nasal_discharge|coughing|respiratory_distress|fever,nasal discharge; coughing,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Adult,Coccidiosis,anorexia|diarrhoea|weight_loss,reduced appetite/anorexia; diarrhoea,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Anthrax,swelling|neck_edema|sudden_death,swelling; neck edema,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Adult,Anaplasmosis,pale_mucous_membranes|fever|weight_loss|progressive_anemia|weakness,pale mucous membranes; fever,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Broilers,Neonate,Coccidiosis,anorexia|weight_loss|diarrhoea,reduced appetite/anorexia; weight loss,Coccidiostats; supportive care; sanitation and management.,Good husbandry; vaccination where available; vector control where relevant.
